date,ret,turnover_daily,period,eq_e1,eq_e2,eq_e3,eq_e4
2018-07-02,0.0,0.9999999999999998,W1,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2018-07-03,0.01717385045069242,0.0,W1,1.0171738504506926,1.0171738504506926,1.0171738504506926,1.0137390803605542
2018-07-04,0.024090557566190496,0.19998127757505824,W1,1.0416781356497986,1.0416781356497986,1.0416781356497986,1.0332763120985724
2018-07-05,0.0006827806144411586,0.0,W1,1.0423893732873075,1.0423893732873075,1.0423893732873075,1.0338407129267821
2018-07-06,-0.0038418483867012077,0.12729618989345848,W1,1.0383846713552292,1.0383846713552292,1.0383846713552292,1.0306632255067312
2018-07-10,-0.0034519435152853273,0.3236885209308971,W1,1.0348002261225728,1.035948446712735,1.035948446712735,1.0287287384386081
2018-07-11,0.03336470858994489,0.19387734540136517,W1,1.0693260341159616,1.0705125647515112,1.0705125647515112,1.0630519730147139
2018-07-12,0.03342483044037281,0.0,W1,1.105068075491764,1.1062942657126191,1.1062942657126191,1.0985843049620345
2018-07-13,-0.021842564604835357,0.091510041843074,W1,1.080930554660094,1.0821299617418323,1.0821299617418323,1.0745884063070432
2018-07-16,0.01939903306831714,0.27916261553320276,W1,1.1018995622344996,1.098673367712683,1.098673367712683,1.091016518350528
2018-07-17,0.0236671706593079,0.0,W1,1.12797840722332,1.1246758578051756,1.1246758578051756,1.116837792482454
2018-07-18,-0.029800414509339013,0.13632854527744784,W1,1.0943641831304811,1.091160051053935,1.091160051053935,1.0835555633267817
2018-07-19,-0.002816594938988781,0.0,W1,1.0912818025108653,1.0880866951765098,1.0880866951765098,1.0805036262110024
2018-07-20,-0.004962529242394043,0.0,W1,1.0858662846542126,1.0826870331334364,1.0826870331334364,1.0751415953694174
2018-07-23,0.001102462042866792,0.3357403252712638,W1,1.0870634110166726,1.08346917539955,1.08346917539955,1.075918286747499
2018-07-24,0.004179903054830847,0.19724107591754653,W1,1.091607230689176,1.0879979715156176,1.0879979715156176,1.0795160740543184
2018-07-25,-0.0005317904246506799,0.1353548784249579,W1,1.091026724416416,1.0874193846123263,1.0874193846123263,1.0790568130051674
2018-07-26,-0.01715030903221637,0.0792092934737941,W1,1.0723152789302677,1.0687698061186024,1.0687698061186024,1.0642518867600816
2018-07-27,-0.01133090159004102,0.0,W1,1.0601649800312114,1.0566596806230653,1.0566596806230653,1.0546047400433665
2018-07-30,-0.002564129941777238,0.42319541105128494,W1,1.0574465792626897,1.0552511804739326,1.0552511804739326,1.0534801312703688
2018-07-31,0.013971508671304811,0.2102253945824554,W1,1.0722207033143,1.0699946314923288,1.0699946314923288,1.0652550967016419
2018-08-01,0.01112378377994272,0.0,W1,1.0841478545823464,1.081897020418749,1.081897020418749,1.0747348305945947
2018-08-02,0.005050963888507232,0.0,W1,1.0896238462456445,1.0873616431999678,1.0873616431999678,1.079077588049838
2018-08-03,-0.0021441452323582855,0.10605841500533926,W1,1.087287534470653,1.0850301819168513,1.0850301819168513,1.0772266287972285
2018-08-06,0.0004861148344483812,0.3107593215422393,W1,1.08781608107047,1.0854035861263212,1.0854035861263212,1.0775232037419256
2018-08-07,0.004884117749051287,0.0,W1,1.0931291028997296,1.0907048250462046,1.0907048250462046,1.082785953946336
2018-08-08,-0.003984705937727262,0.0,W1,1.0887733048727026,1.086358687053535,1.086358687053535,1.0784713703263584
2018-08-09,-0.00305478280931204,0.011258587987762048,W1,1.0854473388977397,1.0830400972115772,1.0830400972115772,1.0751768745239503
2018-08-10,-0.013130691367467473,0.09134767254453438,W1,1.0711946648950346,1.0688190319565,1.0688190319565,1.061059058819138
2018-08-13,0.009758118654555226,0.10400428901851562,W1,1.081647509537207,1.0792486948905784,1.0792486948905784,1.0714129990145858
2018-08-14,-0.00043426071268115596,0.08104451373349005,W1,1.0811777925188455,1.078780019583175,1.078780019583175,1.070947726442058
2018-08-15,-0.002546040387623183,0.0,W1,1.0784250701928912,1.0760334020839553,1.0760334020839553,1.0682210502775031
2018-08-16,-0.0036577733666263157,0.0,W1,1.0744804356932376,1.0720975157642123,1.0720975157642123,1.0643137397701286
2018-08-17,-9.85613767978677e-05,0.10148456397882863,W1,1.0743745334221533,1.071991848356997,1.071991848356997,1.064208839542592
2018-08-20,0.0013108611574805806,0.18308835157782544,W1,1.0757828892666028,1.073397080832144,1.073397080832144,1.0656038695737957
2018-08-21,-0.0011783794410724635,0.0,W1,1.0745152088268335,1.0721322117799843,1.0721322117799843,1.0643481838815627
2018-08-22,0.0099368989033648,0.0,W1,1.0851925578270736,1.0827858811794828,1.0827858811794828,1.0749245041827737
2018-08-23,0.00017119981775270965,0.0,W1,1.0853783425952002,1.082971253925006,1.082971253925006,1.0751085310619877
2018-08-24,0.007927684284124714,0.0,W1,1.0939828794241215,1.0915567081149062,1.0915567081149062,1.0836316520674163
2018-08-27,0.0005193775475957896,0.1928906184205753,W1,1.0945510695691487,1.0921236381610286,1.0921236381610286,1.0841944660173641
2018-08-28,-0.006646217991784331,0.18908472464132423,W1,1.0872764445576515,1.0848651463878298,1.0848651463878298,1.0769886732507266
2018-08-29,0.00578962495014923,0.0,W1,1.093571367388772,1.091146108706904,1.091146108706904,1.083224033744407
2018-08-30,-0.013582112879176544,0.0,W1,1.0787183576354622,1.0763260390907727,1.0763260390907727,1.0685115626446535
2018-08-31,-0.00633584868191106,0.0,W1,1.0718837613510843,1.069506600174693,1.069506600174693,1.0617416350688647
